Crop,pH,EC,Organic_Carbon,Nitrogen,Phosphorus,Potassium,Sulphur,Zinc,Iron,Copper,Manganese,Boron
Onion,8.01,0.57,0.62,576,7,492,52,1.08,9.6,0.59,3.05,0.15
Gram,7.47,0.26,0.92,630,28,589,21,1.28,2.42,0.91,3.1,1.1
Onion,5.57,1.11,0.27,420,21,588,7,0.23,5.95,0.87,3.08,1.33
Onion,6.87,0.74,0.53,410,6,344,31,0.38,8.27,1.5,3.05,0.79
Rice,7.81,0.3,0.4,425,27,366,5,0.41,8.32,0.45,1.04,0.56
Soybean,8.41,1.09,0.39,614,26,345,46,0.51,8.05,1.17,4.35,0.89
Rice,6.0,1.05,1.13,351,12,537,16,1.94,8.67,0.3,6.39,1.08
Rice,5.98,1.14,0.55,644,45,486,34,0.39,2.48,0.38,4.28,0.6
Jowar,7.08,1.05,0.75,544,9,487,20,1.82,4.06,1.29,2.16,0.82
Bajra,6.44,0.64,1.17,385,26,163,8,0.64,4.17,1.69,7.01,1.41
Onion,6.05,0.5,0.71,353,17,428,59,0.52,2.06,1.76,1.53,1.32
Jowar,6.29,1.25,0.6,495,43,346,35,0.48,8.21,0.48,6.01,1.38
Wheat,6.81,1.04,0.5,650,25,158,40,0.73,4.1,0.47,1.48,0.43
Jowar,6.34,1.11,0.27,471,28,519,49,1.58,5.35,0.73,1.38,0.65
Soybean,7.52,0.67,0.63,464,18,362,29,1.13,4.41,1.15,1.28,1.24
Rice,8.21,1.44,0.25,587,14,232,50,0.22,9.46,0.26,5.05,0.58
Soybean,7.29,0.13,1.08,369,16,228,9,1.39,4.77,0.76,5.36,0.15
Maize,6.39,0.13,0.38,616,33,333,12,0.21,7.74,1.12,6.79,1.07
Jowar,7.79,1.26,0.74,605,32,322,37,1.82,6.14,1.1,3.49,0.82
Tomato,6.79,1.31,0.56,595,13,339,38,1.95,7.87,0.3,1.17,1.24
Jowar,7.09,1.33,1.05,456,30,296,46,0.77,3.7,1.35,6.21,1.43
Soybean,8.02,0.44,0.46,437,23,208,57,1.39,4.63,1.28,3.66,0.16
Bajra,5.77,1.26,0.76,305,39,290,5,1.94,9.75,1.74,7.53,0.43
Groundnut,6.64,1.06,0.39,604,10,313,26,1.15,2.8,1.96,3.58,0.14
Bajra,7.76,0.19,0.97,470,10,357,56,0.47,5.63,0.1,1.54,0.88
Maize,8.48,0.81,0.24,217,12,499,42,0.89,8.74,0.28,7.82,0.56
Tur,5.72,1.16,0.41,150,16,586,25,1.86,9.86,1.88,7.98,0.26
Banana,6.55,0.32,0.24,314,7,123,23,1.61,4.99,0.74,4.27,1.36
Rice,6.63,1.48,0.49,482,26,344,36,1.82,9.42,1.38,2.47,1.45
Groundnut,7.73,0.64,0.86,554,38,551,10,1.73,5.66,0.11,2.34,0.66
Groundnut,6.69,0.79,0.85,492,11,460,44,1.05,7.82,0.44,5.21,0.96
Cotton,8.36,0.76,0.34,533,10,274,53,0.42,5.38,1.13,7.52,0.38
Sugarcane,6.94,0.78,0.97,613,17,581,54,1.37,2.16,1.24,2.42,0.67
Bajra,6.21,0.5,1.17,542,16,261,55,0.74,7.69,0.25,3.39,1.22
Rice,5.69,1.01,0.67,606,44,290,45,0.35,3.28,1.78,1.51,0.52
Onion,5.59,1.03,0.44,458,22,522,37,1.57,9.44,1.93,2.41,0.67
Wheat,7.01,0.6,1.05,280,38,146,31,0.72,7.45,1.82,7.28,0.73
Rice,5.83,0.33,0.49,404,26,559,36,1.15,2.17,1.43,5.06,0.28
Bajra,6.35,0.48,0.32,361,14,415,6,0.51,4.02,1.55,3.36,0.23
Tur,6.88,0.96,0.88,476,38,347,49,0.48,9.03,0.68,7.69,0.14
Groundnut,5.82,1.38,1.06,633,44,444,13,1.54,8.15,0.37,5.89,1.36
Tur,6.76,0.36,0.96,321,20,472,59,0.54,7.21,0.47,6.76,0.12
Rice,7.08,0.46,1.19,185,34,278,21,0.3,4.0,0.33,3.98,0.31
Banana,5.59,0.48,0.85,491,22,455,31,1.97,9.73,0.29,2.28,0.11
Sugarcane,6.68,1.02,0.43,609,27,595,43,1.35,7.36,1.02,7.68,0.66
Rice,6.49,1.47,0.9,152,41,142,45,0.49,2.06,1.34,7.57,0.93
Tomato,8.23,1.0,0.31,473,20,399,7,0.38,4.38,1.34,2.35,1.06
Tur,7.54,0.36,0.44,490,19,510,12,1.77,4.31,0.89,6.54,0.66
Maize,8.06,0.59,0.76,419,42,467,38,1.74,8.87,1.19,4.79,0.69
Gram,5.53,1.14,0.46,449,20,413,39,1.72,3.93,0.79,5.58,0.64
Tomato,7.65,0.64,0.44,404,41,203,50,1.71,5.78,1.26,7.34,0.41
Tomato,8.04,0.89,0.94,340,17,503,35,1.89,5.9,0.29,2.93,1.31
Onion,6.54,1.28,0.5,350,33,374,51,0.79,7.11,1.96,4.89,1.45
Cotton,6.22,0.31,0.8,315,11,262,46,1.86,6.48,0.6,3.36,1.47
Sugarcane,5.75,1.32,0.33,274,27,337,16,0.69,7.57,1.44,4.32,0.77
Cotton,8.48,1.22,0.26,557,17,254,34,1.06,5.68,1.64,5.55,1.13
Grapes,7.19,0.88,0.39,272,34,294,47,0.38,5.31,1.8,6.35,0.75
Bajra,6.17,0.7,0.35,306,38,277,11,1.14,5.54,1.69,7.49,1.42
Bajra,5.62,0.6,0.89,455,24,455,42,1.21,7.03,1.85,1.97,0.65
Gram,6.07,1.2,0.62,309,9,428,30,0.3,4.42,1.74,7.22,1.12
Banana,7.28,0.52,0.84,639,17,273,9,0.58,8.89,1.19,2.42,1.35
Jowar,5.99,1.48,0.42,383,45,566,24,0.7,6.92,1.75,1.82,0.44
Jowar,5.75,0.53,0.72,484,37,189,15,0.76,4.75,1.62,1.57,0.98
Rice,6.55,0.55,1.08,607,43,426,28,0.45,6.75,0.68,4.93,0.59
Banana,5.81,1.44,1.08,272,34,376,38,0.45,5.38,0.95,3.52,0.15
Onion,5.72,0.16,0.42,381,29,464,8,0.28,7.08,1.09,5.68,0.15
Onion,7.74,0.68,1.07,154,31,298,56,0.35,4.94,1.46,2.27,1.39
Tomato,8.29,0.63,0.34,414,34,446,47,0.96,9.0,1.72,7.48,0.71
Tur,8.32,0.44,1.04,615,18,228,7,0.92,9.52,0.25,5.51,0.17
Jowar,7.9,0.74,0.26,581,9,525,58,1.02,2.08,0.57,4.8,0.64
Onion,6.48,0.21,0.74,366,14,291,14,0.63,3.65,1.88,6.24,0.15
Soybean,7.5,0.43,1.13,379,35,278,31,1.21,8.03,1.73,4.06,1.05
Onion,7.8,1.2,0.24,636,17,186,28,1.45,3.14,0.56,4.28,0.53
Maize,7.9,1.0,0.71,152,33,362,21,1.52,6.57,0.26,3.96,1.19
Jowar,7.61,0.76,0.8,404,41,215,8,0.38,5.2,1.35,5.27,1.49
Bajra,8.04,0.29,1.11,318,27,142,21,1.05,2.0,0.2,4.79,0.61
Bajra,5.99,1.24,1.06,595,39,427,34,1.8,5.08,1.9,5.28,1.29
Maize,8.12,1.12,1.0,175,27,169,58,0.76,9.71,1.8,1.61,0.57
Soybean,6.03,0.72,0.67,165,33,195,36,1.55,5.36,1.25,7.36,0.68
Tur,7.05,1.08,0.62,330,37,146,21,1.29,6.73,1.02,7.03,0.5
Gram,5.84,1.05,0.78,646,6,261,34,1.9,2.87,1.41,1.81,1.11
Wheat,7.65,0.62,0.81,454,38,338,45,1.99,2.46,0.18,4.34,0.59
Soybean,7.71,0.64,1.09,390,29,159,12,1.5,9.94,0.72,6.32,0.3
Tomato,5.59,1.26,0.36,323,15,350,27,1.58,3.29,1.29,4.77,1.41
Banana,7.82,0.26,0.89,355,23,303,34,0.69,2.56,1.16,2.18,0.43
Gram,7.95,0.54,0.46,616,10,203,40,0.51,4.03,1.2,3.31,1.04
Wheat,6.59,0.17,0.79,438,30,291,26,0.26,3.98,1.11,1.96,0.21
Maize,5.54,0.79,0.92,588,20,352,19,1.12,3.47,1.49,2.42,0.62
Cotton,7.16,1.06,0.6,648,27,246,43,1.84,5.41,0.28,6.84,1.34
Tur,6.64,0.86,0.32,443,18,169,28,0.87,2.52,0.18,5.15,1.22
Gram,7.78,0.53,1.05,599,32,569,35,0.36,6.4,1.6,5.74,0.34
Groundnut,7.08,0.79,0.69,261,26,341,34,0.75,2.52,1.73,2.48,0.76
Jowar,6.84,0.69,0.21,368,29,519,48,0.95,9.78,1.25,5.98,0.29
Tur,6.77,1.17,0.77,457,22,537,58,0.59,8.44,0.63,3.81,1.29
Rice,8.28,1.05,0.59,181,20,470,13,1.52,9.53,0.8,5.25,1.34
Rice,6.26,0.92,0.67,543,25,350,27,0.49,7.79,1.02,4.66,0.17
Bajra,7.77,0.46,0.84,391,8,243,54,1.0,6.87,1.0,3.73,0.22
Gram,7.43,1.22,0.28,591,25,407,48,1.89,6.04,1.85,5.85,1.4
Banana,5.54,0.78,0.58,278,24,380,11,1.07,4.46,1.91,5.12,1.24
Jowar,7.2,1.22,1.05,401,10,463,48,0.8,9.51,0.15,3.13,0.5
Maize,6.19,1.11,0.62,265,45,133,24,1.35,9.13,0.43,2.77,0.59
Tomato,7.83,1.05,1.12,410,41,258,18,0.71,7.06,1.18,1.96,0.23
Banana,8.41,0.49,0.65,192,22,102,35,0.95,3.48,0.66,5.3,0.63
Cotton,5.89,0.8,0.91,556,23,477,25,0.24,2.14,0.43,7.11,0.68
Groundnut,7.59,1.43,0.99,624,19,210,8,0.21,2.18,1.72,4.85,0.43
Tur,7.62,1.42,0.76,258,10,175,14,0.95,2.83,1.32,2.11,1.46
Groundnut,7.1,0.13,0.37,311,25,390,38,0.82,2.1,0.8,6.43,1.3
Cotton,6.94,0.56,1.13,433,11,300,8,1.12,2.56,0.99,4.63,1.48
Soybean,6.1,1.24,0.8,222,15,529,7,0.61,6.25,1.49,2.38,1.36
Rice,6.4,1.34,0.46,628,29,270,60,1.65,5.17,0.9,4.14,0.43
Bajra,5.6,0.64,1.08,479,38,544,18,0.41,4.36,1.89,6.47,1.11
Tur,5.74,0.22,0.75,420,29,175,38,0.68,6.51,1.73,4.93,0.33
Wheat,5.62,0.12,0.28,533,35,443,17,1.94,8.25,1.5,6.32,0.69
Soybean,7.55,0.81,0.57,303,16,549,17,1.57,4.3,1.76,4.08,1.28
Sugarcane,6.55,0.27,0.56,609,7,159,24,0.96,7.43,0.78,4.32,0.35
Tur,6.66,0.21,0.33,527,30,105,7,1.26,5.37,0.69,1.29,1.23
Jowar,6.97,1.26,1.01,193,15,344,29,0.28,3.17,0.91,2.8,1.02
Maize,6.76,0.4,0.67,162,44,476,18,1.88,4.33,1.58,4.43,1.12
Grapes,5.97,0.55,0.96,176,7,151,33,0.21,4.42,1.03,4.65,0.14
Grapes,7.22,0.58,0.3,328,31,597,14,0.5,7.98,0.36,5.69,0.57
Sugarcane,7.35,0.81,0.94,646,44,473,44,1.2,7.23,0.94,1.48,0.56
Bajra,7.59,0.36,0.46,371,38,353,45,0.28,2.5,1.06,7.25,1.44
Groundnut,7.26,0.22,0.44,544,18,179,57,0.97,6.52,1.4,6.84,1.22
Onion,7.23,0.32,0.69,312,45,474,7,1.23,9.36,1.68,2.04,0.26
Gram,6.41,0.3,0.24,225,5,537,16,0.3,5.81,0.92,6.09,1.41
Sugarcane,7.79,0.6,1.0,402,37,199,11,0.81,5.34,1.43,2.55,0.36
Grapes,7.31,1.01,0.69,536,31,535,38,0.46,5.04,1.7,6.3,0.85
Maize,6.45,1.04,0.67,257,6,326,28,0.82,7.77,1.16,6.3,1.25
Tomato,8.05,0.81,0.96,546,43,177,11,1.14,9.39,1.97,3.25,1.36
Jowar,7.04,0.85,1.11,451,42,378,30,0.88,5.83,0.17,5.75,1.16
Onion,7.84,0.14,0.75,208,5,181,8,0.36,5.44,1.59,3.21,1.34
Banana,7.25,1.48,0.63,610,5,409,30,1.0,6.02,1.05,3.6,0.17
Rice,5.69,1.18,0.76,398,37,458,47,1.18,6.81,1.14,1.78,1.47
Wheat,6.63,0.32,0.29,290,45,562,33,1.74,9.59,1.45,1.88,0.53
Jowar,7.01,0.16,0.55,375,30,446,17,1.54,9.3,0.99,4.33,0.33
Cotton,7.18,0.64,0.91,165,42,515,22,0.86,5.97,1.0,3.92,1.46
Bajra,7.74,1.31,0.82,540,30,512,60,1.2,6.24,0.72,5.93,0.44
Sugarcane,6.3,0.7,0.86,580,12,563,47,0.92,4.73,0.19,2.57,0.14
Grapes,7.02,1.47,1.18,290,6,176,43,1.78,8.18,0.36,3.6,1.13
Groundnut,7.04,0.64,0.5,434,15,465,31,0.91,8.09,1.33,4.92,1.36
Wheat,6.0,0.93,1.13,395,19,285,44,0.87,3.93,0.49,2.4,0.31
Rice,7.28,0.17,0.97,168,25,241,29,1.21,5.16,0.22,1.38,1.04
Tur,5.78,0.13,0.32,211,36,500,12,0.54,7.39,0.14,2.18,0.38
Jowar,5.78,0.19,0.62,528,43,155,57,0.68,9.09,0.23,6.66,1.15
Maize,6.63,0.87,0.56,185,26,333,24,0.4,7.29,1.2,2.95,1.24
Onion,6.75,0.48,0.64,610,35,113,31,0.49,9.44,0.71,7.97,0.67
Soybean,5.71,1.13,1.08,643,11,416,36,1.19,5.28,0.61,6.81,0.97
Soybean,8.12,0.59,0.69,525,28,202,16,1.51,9.65,0.57,1.12,0.97
Gram,6.41,1.22,0.83,622,29,112,20,0.37,6.66,1.69,1.62,1.37
Maize,6.78,1.48,0.93,244,32,468,35,0.42,2.13,0.53,5.66,0.75
Wheat,6.27,0.5,0.3,650,28,250,29,0.99,6.56,1.12,2.48,0.58
Tomato,8.24,0.35,0.53,359,13,506,18,1.76,4.82,0.88,3.8,1.34
Rice,5.95,1.35,0.41,612,23,564,47,0.81,6.42,1.6,3.04,0.65
Tur,7.16,0.73,0.52,219,16,121,13,1.56,9.65,1.0,7.97,1.44
Groundnut,7.38,0.79,0.86,323,40,241,46,1.03,6.74,1.98,7.44,1.12
Soybean,7.21,0.29,0.5,260,27,564,24,1.66,7.53,0.13,7.02,1.32
Jowar,7.34,0.8,0.48,437,39,594,23,0.27,3.35,1.5,6.2,1.16
Grapes,7.76,0.2,0.4,178,6,188,13,0.44,2.45,0.14,2.37,0.59
Jowar,6.2,1.23,0.37,409,18,239,13,1.3,6.78,0.86,5.39,1.22
Onion,8.38,0.72,1.02,511,33,159,49,1.65,5.06,1.26,1.86,0.98
Rice,6.72,0.45,1.11,309,32,118,59,0.23,6.06,1.05,3.28,0.14
Wheat,7.81,0.55,0.27,594,34,470,59,1.17,9.36,1.89,1.43,0.95
Tur,6.74,0.58,0.37,348,8,310,5,1.62,8.04,1.6,3.33,1.36
Tur,6.05,0.73,1.16,207,10,538,14,0.5,3.85,1.92,2.83,0.95
Banana,8.45,1.46,0.98,412,22,127,53,1.36,2.57,1.5,1.25,0.7
Grapes,8.27,1.19,0.6,280,26,586,49,0.5,3.44,1.54,4.26,1.04
Jowar,8.14,1.46,0.31,351,21,185,41,0.92,6.21,0.84,4.47,0.34
Tur,6.39,1.3,0.58,469,16,526,30,0.91,9.93,1.85,5.42,1.32
Maize,6.31,1.19,0.56,165,15,175,47,0.54,3.5,0.63,2.64,1.08
Tur,6.07,0.75,0.66,205,39,207,24,0.57,3.78,0.59,7.25,0.97
Grapes,7.71,1.43,0.24,347,37,254,39,1.72,6.83,1.71,3.26,0.19
Tomato,7.68,1.11,0.45,479,44,178,37,0.4,4.86,1.47,2.05,0.85
Gram,5.71,0.74,0.92,503,22,593,43,0.6,8.82,1.3,3.2,0.69
Grapes,6.58,1.26,0.31,436,31,582,26,0.8,5.36,1.64,2.93,0.78
Jowar,8.21,0.91,1.16,362,27,221,58,0.99,7.73,0.83,7.7,0.98
Sugarcane,6.45,1.39,0.88,532,44,479,39,0.65,5.5,1.61,4.08,0.94
Sugarcane,7.66,0.15,1.02,161,12,151,44,1.38,4.1,1.47,5.27,0.39
Banana,8.32,0.96,0.35,312,24,332,6,1.85,5.09,0.63,6.46,0.31
Gram,7.72,1.09,0.97,193,16,251,49,1.11,8.0,1.03,3.27,1.24
Rice,7.8,0.62,0.41,445,5,270,30,0.8,9.26,1.59,1.72,0.4
Jowar,5.88,0.46,1.16,180,35,501,52,1.06,5.82,1.97,4.16,0.22
Grapes,6.58,1.11,0.36,473,16,110,57,0.48,6.16,0.27,3.68,1.3
Onion,6.39,0.45,1.12,310,33,457,20,1.22,9.14,0.95,3.54,0.64
Gram,6.15,1.47,0.72,444,35,412,6,1.91,7.91,0.62,7.08,1.22
Cotton,6.81,0.42,0.77,377,45,347,20,0.91,3.42,0.21,3.34,1.37
Soybean,7.57,0.92,0.91,563,41,274,5,1.07,6.45,1.83,3.2,0.57
Tomato,8.14,0.24,0.84,465,35,493,59,1.6,9.4,1.05,4.57,1.19
Banana,6.02,1.14,1.05,345,12,422,42,1.18,7.49,1.32,7.95,0.46
Bajra,8.1,1.07,0.78,217,12,435,41,0.37,9.17,1.11,7.32,1.43
Wheat,7.21,1.3,0.23,610,11,501,28,1.69,4.07,1.03,6.87,1.05
Sugarcane,5.92,0.17,0.75,156,25,335,43,0.6,6.24,1.03,6.28,0.22
Jowar,7.19,0.34,0.77,335,9,207,25,0.61,3.9,0.56,7.49,0.26
Soybean,5.53,0.92,0.31,427,28,314,51,1.94,9.25,1.09,1.9,0.81
Soybean,8.4,1.44,0.63,597,26,356,59,1.07,9.65,1.55,6.08,1.48
Wheat,8.29,0.52,0.58,597,37,327,8,1.38,2.79,1.6,4.7,0.8
Banana,6.53,1.07,0.65,429,34,310,13,0.58,5.08,1.67,5.73,0.19
Rice,6.2,0.76,1.15,446,13,158,14,0.71,8.48,0.21,7.36,0.23
Rice,6.84,0.27,1.14,271,8,252,24,0.84,4.53,1.43,3.9,0.72
Soybean,8.14,1.02,0.58,177,31,281,19,1.94,5.68,0.9,5.99,0.55
Rice,8.08,0.62,0.84,615,10,478,53,1.22,4.54,0.5,7.64,1.12
Sugarcane,6.47,1.49,0.32,364,23,570,7,0.91,3.63,0.96,6.07,0.63
Groundnut,7.25,1.01,1.13,247,32,222,46,0.92,4.08,0.84,1.92,0.56
Cotton,6.93,1.25,0.41,337,44,221,51,0.43,3.66,1.94,2.44,0.31
Gram,7.78,0.18,0.27,222,45,180,33,0.91,8.83,1.91,4.48,0.44
Grapes,7.8,0.66,1.16,234,30,564,56,1.83,8.68,1.55,6.55,0.82
Onion,5.99,1.12,0.75,170,6,412,59,1.57,6.02,0.2,4.24,1.35
Gram,6.73,1.29,0.46,193,9,442,57,0.28,5.45,0.42,2.28,0.92
Banana,7.28,1.4,0.47,214,41,196,44,0.59,6.52,0.26,2.58,1.37
Rice,7.17,0.99,0.33,219,36,450,24,0.88,4.2,0.18,7.41,0.71
Bajra,5.69,0.21,0.45,508,13,377,25,0.33,8.67,1.86,6.58,0.74
Jowar,8.16,0.58,0.42,411,38,569,6,1.0,5.65,1.07,5.84,1.11
Maize,7.64,0.86,0.42,322,29,517,20,0.83,4.8,0.83,6.06,1.33
Grapes,5.62,0.36,0.24,247,17,288,33,1.64,9.01,1.67,5.82,1.19
Tomato,6.93,0.84,1.02,590,12,238,15,0.22,9.01,1.32,6.04,0.2
Sugarcane,8.19,0.71,0.37,465,10,254,34,0.31,8.35,0.66,1.96,0.53
Wheat,7.67,1.29,1.0,228,33,413,50,0.42,4.53,1.83,1.26,0.25
Tur,6.99,1.38,0.35,160,21,548,18,0.85,7.48,0.43,5.03,0.68
Soybean,6.64,0.18,0.78,556,36,242,28,1.83,5.15,1.84,5.08,0.48
Bajra,7.51,0.6,0.83,182,8,106,43,1.55,9.37,1.07,2.81,0.9
Bajra,8.15,0.21,0.86,559,19,339,37,0.27,4.89,1.37,2.88,0.73
Cotton,8.19,0.58,0.82,216,44,286,21,1.07,9.96,1.8,6.33,0.29
Gram,8.11,1.43,0.42,259,34,217,20,0.67,7.3,1.77,6.75,1.04
Soybean,7.04,0.31,0.86,231,37,221,8,0.95,2.02,0.47,6.77,0.66
Bajra,6.54,1.36,0.29,305,29,528,34,1.89,3.6,1.12,3.02,1.14
Tur,6.97,0.32,0.27,182,19,397,27,1.62,9.15,1.81,6.68,1.34
Tomato,7.88,0.22,0.57,209,7,585,22,1.59,6.2,1.54,6.02,0.53
Wheat,7.73,1.29,0.52,581,8,221,27,0.81,5.66,1.92,7.89,1.19
Gram,5.92,1.43,0.43,211,39,142,14,1.0,3.95,0.46,5.73,1.14
Groundnut,5.85,1.32,0.6,489,32,479,7,0.48,2.82,1.97,2.12,1.23
Bajra,8.12,1.32,0.26,220,14,437,14,1.8,2.48,0.16,3.64,0.83
Groundnut,8.31,0.8,0.34,227,40,534,13,0.4,8.77,1.3,2.22,0.52
Cotton,7.42,1.18,0.37,184,9,378,58,1.58,7.64,0.83,3.3,1.13
Grapes,6.73,0.27,0.48,418,15,565,46,1.24,5.74,1.59,7.31,0.58
Maize,8.37,0.59,0.38,316,8,128,59,0.8,2.51,0.14,7.36,1.04
Wheat,6.08,1.2,1.05,408,42,246,26,1.62,8.86,1.09,5.59,1.34
Tur,7.96,0.14,0.37,203,32,401,14,1.69,6.12,0.63,7.39,0.38
Maize,7.12,0.59,0.73,567,6,131,17,0.88,4.7,1.75,4.08,0.57
Gram,7.32,0.73,1.0,631,15,496,7,0.26,7.14,1.94,6.45,0.78
Soybean,7.3,1.42,0.62,273,28,455,7,1.22,7.49,0.46,3.85,0.63
Tomato,5.57,0.77,1.18,279,28,548,27,0.8,4.08,0.62,6.33,0.92
Tomato,6.44,0.41,0.91,303,7,437,44,0.48,5.38,1.07,1.21,0.24
Banana,8.02,0.81,0.67,207,42,109,37,1.06,3.36,1.86,3.16,1.07
Groundnut,6.29,0.77,0.48,472,25,212,59,0.87,6.03,1.31,5.91,0.3
Wheat,6.03,1.47,0.38,219,19,143,6,1.19,8.01,1.7,7.03,0.26
Sugarcane,7.26,1.47,0.74,260,5,364,30,1.46,7.1,1.07,6.22,0.69
Rice,5.97,1.03,0.72,522,34,517,52,1.5,9.66,0.73,7.76,1.3
Groundnut,7.21,0.37,0.49,516,25,347,37,1.8,4.52,1.71,5.33,1.2
Rice,5.76,0.21,0.3,517,30,377,30,1.0,7.34,0.48,1.13,0.86
Cotton,7.22,0.34,0.61,466,44,352,59,0.88,7.34,1.38,3.18,0.75
Groundnut,8.27,0.28,0.81,253,28,285,34,1.41,9.73,0.68,7.33,0.13
Sugarcane,7.53,1.36,0.47,543,10,497,51,0.9,2.17,1.27,6.6,1.02
Maize,6.13,0.58,0.66,325,23,424,38,1.82,3.65,0.3,7.44,1.04
Gram,6.52,0.67,0.33,247,32,245,46,0.57,8.56,1.86,2.3,0.14
Wheat,6.33,0.87,0.78,425,18,454,40,1.78,4.21,0.17,3.13,1.38
Banana,6.67,0.15,1.01,425,22,520,26,1.63,4.49,1.53,7.24,1.45
Rice,5.84,0.13,0.8,490,27,568,43,1.14,7.59,1.3,3.05,0.62
Sugarcane,6.51,0.29,1.18,593,14,154,18,1.76,5.26,1.61,5.16,0.5
Maize,7.98,0.11,0.22,373,29,109,47,0.81,7.81,1.92,5.95,0.16
Soybean,7.81,0.24,0.92,217,10,441,54,1.51,3.39,1.31,6.38,0.35
Cotton,8.38,0.4,0.82,264,42,392,14,1.42,6.49,1.01,6.49,0.77
Cotton,5.92,0.93,1.12,247,15,243,35,1.09,3.19,0.72,3.67,0.32
Grapes,8.22,1.31,0.61,568,26,437,5,1.4,3.95,1.92,4.05,0.25
Tur,7.7,0.7,0.98,183,9,263,20,1.62,2.61,1.26,7.85,1.02
Wheat,5.8,1.46,0.82,544,15,380,17,1.98,2.27,0.41,1.1,1.08
Banana,6.46,1.12,0.78,359,28,116,46,1.26,9.98,0.43,4.61,0.6
Onion,6.96,1.27,0.62,307,16,229,29,1.23,7.42,1.39,2.45,0.72
Soybean,7.83,0.16,0.2,280,11,264,57,1.74,8.13,1.73,5.0,0.54
Tur,7.8,1.12,0.22,418,37,204,36,1.01,3.87,1.02,1.19,0.46
Rice,7.97,0.25,0.9,497,16,414,30,1.27,9.56,0.2,1.8,0.18
Tomato,6.7,1.48,0.88,513,35,465,41,0.24,5.85,0.73,5.89,0.61
Rice,7.96,0.89,0.99,425,19,339,13,1.29,7.27,1.93,1.48,0.7
Grapes,7.99,1.47,0.32,469,9,131,16,0.53,6.91,0.95,2.79,0.97
Cotton,8.33,1.4,0.25,559,39,501,34,1.82,6.59,0.67,3.41,1.16
Groundnut,6.93,0.69,0.98,303,30,232,12,1.39,2.71,1.66,3.23,1.26
Onion,6.86,1.47,0.35,310,7,470,48,0.93,4.09,1.72,6.65,0.78
Tur,7.37,0.25,0.63,551,18,580,38,1.42,4.51,1.6,3.6,1.26
Cotton,5.7,0.29,0.32,531,11,594,31,1.27,8.4,1.35,6.65,0.89
Tur,5.51,0.97,0.32,182,20,174,32,1.19,9.17,0.72,1.82,0.47
Banana,7.32,0.92,0.62,628,16,117,15,0.51,4.53,1.38,5.43,0.82
Bajra,8.29,1.05,1.08,409,19,443,47,0.8,3.68,1.24,4.86,0.38
Jowar,8.12,0.41,0.65,646,19,440,11,1.34,7.87,0.39,2.34,0.13
Bajra,8.15,0.38,0.53,451,17,282,49,1.31,2.61,1.66,6.93,0.64
Jowar,8.25,1.05,0.43,198,28,531,31,0.63,5.23,1.72,4.29,1.07
Groundnut,7.42,1.22,1.04,242,23,509,24,0.2,2.56,0.57,7.19,0.98
Bajra,6.49,1.27,0.68,599,22,526,41,0.22,8.77,1.99,3.39,0.67
Wheat,5.69,0.44,1.14,200,25,437,52,0.94,4.15,0.15,4.57,0.51
Wheat,8.23,0.7,0.99,539,6,193,49,1.99,7.46,1.73,6.43,0.84
Grapes,5.91,0.39,0.84,499,13,252,17,0.69,7.02,0.26,4.21,1.37
Soybean,7.32,1.15,0.91,218,17,579,59,0.53,8.06,1.29,4.63,1.32
Jowar,5.64,0.69,0.49,260,30,139,58,1.56,6.4,0.34,6.93,1.46
Wheat,6.89,1.18,0.81,244,10,429,8,0.59,7.68,0.85,3.79,0.86
Grapes,7.02,1.42,0.48,383,27,205,53,0.26,2.32,0.69,5.8,1.15
Tur,6.89,1.39,0.3,456,6,438,13,1.8,7.8,1.29,6.17,1.07
Gram,6.35,0.81,0.64,233,5,148,56,0.98,4.34,1.36,6.25,1.36
Maize,6.71,0.93,0.49,598,12,350,57,1.09,8.98,0.84,5.59,1.11
Tur,6.18,0.76,1.04,342,17,141,50,0.55,4.74,0.7,6.83,1.05
Bajra,6.56,0.14,0.63,473,22,420,12,1.91,7.76,0.64,3.27,0.91
Groundnut,8.37,0.32,0.9,394,31,195,54,1.91,4.98,1.28,6.88,1.46
Gram,5.97,1.06,0.49,211,44,392,11,1.34,2.21,0.12,1.2,1.2
Onion,6.77,0.77,0.68,643,44,379,45,1.45,9.04,1.12,6.59,1.24
Onion,6.26,0.9,0.8,554,16,455,41,0.58,9.33,1.75,6.37,1.27
Onion,6.41,1.01,0.6,165,37,270,58,1.27,4.11,1.5,7.79,1.38
Groundnut,8.41,1.34,0.58,192,5,417,33,1.91,9.84,1.07,1.73,1.25
Soybean,8.16,0.32,0.7,423,24,181,55,0.87,4.48,1.73,4.9,1.0
Jowar,6.32,0.35,0.54,245,19,322,51,0.79,5.49,0.91,3.74,1.07
Onion,6.47,0.77,0.71,213,24,359,17,0.66,4.46,0.61,1.57,1.23
Tomato,7.87,0.18,0.92,594,7,249,5,0.74,9.23,0.99,5.08,1.06
Groundnut,5.88,0.19,0.76,548,10,429,14,1.26,5.58,1.39,3.52,0.79
Grapes,8.18,0.7,1.06,486,23,338,31,1.3,2.99,0.7,6.61,0.75
Tur,6.6,0.45,0.6,165,24,276,32,0.24,7.9,1.25,3.44,0.21
Jowar,8.19,0.93,1.17,325,9,537,5,0.56,3.7,1.57,7.96,0.82
